Episode reward: 0.850	Steps: 16	Avg. loss: 0.0	Avg. reward: 0.85	Avg. Q: 1.0	Greedinessless: 0.85	Vanilla reward: 24.000
Episode reward: 0.880	Steps: 29	Avg. loss: 0.0	Avg. reward: 0.865	Avg. Q: 1.0	Greedinessless: 0.7999999999999999	Vanilla reward: 41.000
Episode reward: 0.890	Steps: 41	Avg. loss: 0.0	Avg. reward: 0.8733333333333334	Avg. Q: 1.0	Greedinessless: 0.7499999999999999	Vanilla reward: 50.000
Episode reward: -0.750	Steps: 116	Avg. loss: 0.0	Avg. reward: 0.4674999999999999	Avg. Q: 1.0	Greedinessless: 0.7499999999999999	Vanilla reward: -370.000
Episode reward: -0.750	Steps: 191	Avg. loss: 0.0	Avg. reward: 0.22399999999999984	Avg. Q: 1.0	Greedinessless: 0.7499999999999999	Vanilla reward: -360.000
Episode reward: 0.560	Steps: 236	Avg. loss: 0.0	Avg. reward: 0.27999999999999986	Avg. Q: 1.0	Greedinessless: 0.6999999999999998	Vanilla reward: -107.000
Episode reward: -0.750	Steps: 311	Avg. loss: 0.0	Avg. reward: 0.13285714285714265	Avg. Q: 1.0	Greedinessless: 0.6999999999999998	Vanilla reward: -360.000
Episode reward: -0.750	Steps: 386	Avg. loss: 0.0	Avg. reward: 0.02249999999999977	Avg. Q: 1.0	Greedinessless: 0.6999999999999998	Vanilla reward: -345.000
Episode reward: -0.750	Steps: 461	Avg. loss: 0.0	Avg. reward: -0.06333333333333359	Avg. Q: 1.0	Greedinessless: 0.6999999999999998	Vanilla reward: -345.000
Episode reward: 0.770	Steps: 485	Avg. loss: 0.0	Avg. reward: 0.01999999999999976	Avg. Q: 1.0	Greedinessless: 0.6499999999999998	Vanilla reward: -15.000
Episode reward: 0.980	Steps: 488	Avg. loss: 0.0	Avg. reward: 0.10727272727272705	Avg. Q: 1.0	Greedinessless: 0.5999999999999998	Vanilla reward: 91.000
Episode reward: -0.750	Steps: 563	Avg. loss: 0.0	Avg. reward: 0.035833333333333085	Avg. Q: 1.0	Greedinessless: 0.5999999999999998	Vanilla reward: -350.000
Episode reward: 0.720	Steps: 592	Avg. loss: 0.0	Avg. reward: 0.08846153846153823	Avg. Q: 1.0	Greedinessless: 0.5499999999999997	Vanilla reward: -40.000
Episode reward: -0.750	Steps: 667	Avg. loss: 0.0	Avg. reward: 0.028571428571428328	Avg. Q: 1.0	Greedinessless: 0.5499999999999997	Vanilla reward: -355.000
Episode reward: -0.750	Steps: 742	Avg. loss: 0.0	Avg. reward: -0.02333333333333359	Avg. Q: 1.0	Greedinessless: 0.5499999999999997	Vanilla reward: -360.000
Episode reward: -0.750	Steps: 817	Avg. loss: 0.0	Avg. reward: -0.06875000000000027	Avg. Q: 1.0	Greedinessless: 0.5499999999999997	Vanilla reward: -345.000
Episode reward: 0.610	Steps: 857	Avg. loss: 0.0	Avg. reward: -0.028823529411764966	Avg. Q: 1.0	Greedinessless: 0.4999999999999997	Vanilla reward: -77.000
Episode reward: 0.990	Steps: 859	Avg. loss: 0.0	Avg. reward: 0.02777777777777753	Avg. Q: 1.0	Greedinessless: 0.44999999999999973	Vanilla reward: 95.000
Episode reward: 0.900	Steps: 870	Avg. loss: 0.0	Avg. reward: 0.07368421052631555	Avg. Q: 1.0	Greedinessless: 0.39999999999999974	Vanilla reward: 54.000
Episode reward: 0.920	Steps: 879	Avg. loss: 0.0	Avg. reward: 0.11599999999999977	Avg. Q: 1.0	Greedinessless: 0.34999999999999976	Vanilla reward: 67.000
Episode reward: 0.940	Steps: 886	Avg. loss: 0.0	Avg. reward: 0.155238095238095	Avg. Q: 1.0	Greedinessless: 0.29999999999999977	Vanilla reward: 75.000
Episode reward: 0.800	Steps: 907	Avg. loss: 0.0	Avg. reward: 0.18454545454545432	Avg. Q: 1.0	Greedinessless: 0.24999999999999978	Vanilla reward: 19.000
Episode reward: -0.750	Steps: 982	Avg. loss: 0.0	Avg. reward: 0.14391304347826064	Avg. Q: 1.0	Greedinessless: 0.24999999999999978	Vanilla reward: -305.000
Episode reward: -0.750	Steps: 1057	Avg. loss: 0.0022789609781414455	Avg. reward: 0.10666666666666642	Avg. Q: 0.9927603303061592	Greedinessless: 0.24999999999999978	Vanilla reward: -365.000
Episode reward: -0.750	Steps: 1132	Avg. loss: 0.0015995329871848778	Avg. reward: 0.07239999999999976	Avg. Q: 0.9790777998500401	Greedinessless: 0.24999999999999978	Vanilla reward: -370.000
Episode reward: -0.750	Steps: 1207	Avg. loss: 0.0028455862334845327	Avg. reward: 0.040769230769230516	Avg. Q: 0.9816254822413126	Greedinessless: 0.24999999999999978	Vanilla reward: -370.000
Episode reward: -0.750	Steps: 1282	Avg. loss: 0.0032234325504089754	Avg. reward: 0.01148148148148122	Avg. Q: 0.9639387851291232	Greedinessless: 0.24999999999999978	Vanilla reward: -330.000
Episode reward: -0.750	Steps: 1357	Avg. loss: 0.004794922016308671	Avg. reward: -0.015714285714285983	Avg. Q: 0.9808750849299961	Greedinessless: 0.24999999999999978	Vanilla reward: -330.000
Episode reward: -0.750	Steps: 1432	Avg. loss: 0.0037262230262537117	Avg. reward: -0.04103448275862096	Avg. Q: 0.9685401633050706	Greedinessless: 0.24999999999999978	Vanilla reward: -330.000
Episode reward: -0.750	Steps: 1507	Avg. loss: 0.00449944121161631	Avg. reward: -0.06466666666666694	Avg. Q: 0.970510160393185	Greedinessless: 0.24999999999999978	Vanilla reward: -370.000
Episode reward: -0.750	Steps: 1582	Avg. loss: 0.0037313594181652755	Avg. reward: -0.08677419354838738	Avg. Q: 0.9699048609203762	Greedinessless: 0.24999999999999978	Vanilla reward: -310.000
